date,open,high,low,close,volume
2020-11-04,135.37,135.82,134.45,134.91,21570800
2020-11-05,135.37,135.46,134.49,135.14,18537500
2020-11-06,133.68,133.93,133.11,133.51,12408400
2020-11-09,130.63,130.78,129.50,130.70,23245000
2020-11-10,129.78,130.49,129.63,129.95,12561000
2020-11-11,129.83,130.60,129.79,130.42,5888200
2020-11-12,131.44,132.66,131.25,132.64,15999700
2020-11-13,132.63,132.74,132.25,132.46,7344600
2020-11-16,132.10,132.56,132.00,132.14,6310400
2020-11-17,132.97,133.30,132.82,133.00,7444600
2020-11-18,133.53,133.64,132.62,133.39,10333300
2020-11-19,133.98,134.60,133.87,134.08,10637200
2020-11-20,134.45,135.29,134.33,135.27,7246800
2020-11-23,134.69,134.83,134.24,134.65,11300000
2020-11-24,133.99,134.02,133.17,133.31,10891700
2020-11-25,133.37,133.93,132.85,132.90,9145800
2020-11-27,133.67,134.23,133.65,134.19,4708200
2020-11-30,134.03,134.44,133.80,134.02,13071600
2020-12-01,132.92,133.08,131.35,132.04,13662800
2020-12-02,131.52,131.56,130.35,130.99,12114300
2020-12-03,131.57,132.31,131.27,132.05,9626500
2020-12-04,130.52,130.61,129.75,130.11,12734500
2020-12-07,131.08,131.52,130.94,131.29,9316100
2020-12-08,132.10,132.52,131.79,131.91,7397200
2020-12-09,131.25,131.89,130.79,131.47,7750100
2020-12-10,131.82,132.70,131.48,132.64,10025100
2020-12-11,133.01,133.63,132.73,133.11,8135900
2020-12-14,132.03,133.04,131.71,132.74,7535900
2020-12-15,132.28,132.79,131.88,132.29,6847500
2020-12-16,131.27,132.37,131.11,131.94,9954200
2020-12-17,132.71,132.99,131.28,131.59,9422700
2020-12-18,131.86,132.08,131.07,131.20,6505000
2020-12-21,131.93,132.05,131.30,131.72,8988200
2020-12-22,132.23,132.46,131.83,132.40,7370800
2020-12-23,131.44,131.50,130.47,131.48,9266600
2020-12-24,131.68,132.12,131.63,132.00,3117100
2020-12-28,131.24,132.14,131.00,132.06,7791100
2020-12-29,131.25,132.00,131.22,131.89,9030900
2020-12-30,131.61,132.20,131.49,132.18,9097300
2020-12-31,132.15,132.67,132.14,132.37,7742100
2021-01-04,131.48,132.75,131.37,132.21,13152900
2021-01-05,131.72,131.72,130.64,131.23,10458100
2021-01-06,129.09,129.12,127.81,128.54,22827300
2021-01-07,127.39,127.71,126.94,127.40,14651900
2021-01-08,127.13,127.53,126.44,126.99,13622500
